Airline,month(2019),Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1210,1,In-flight meal not included,12373
Air Asia,March,Banglore,New Delhi,BLR → DEL,170,0,No info,4284
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,1375,1,No info,13941
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,1525,1,No info,16289
Jet Airways,June,Banglore,Delhi,BLR → DEL,165,0,No info,8016
Air Asia,April,Kolkata,Banglore,CCU → DEL → BLR,720,1,No info,5192
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,665,1,No info,14939
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,540,1,No info,14502
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,810,1,No info,13817
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,505,1,No info,14151
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,510,1,No info,15077
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,600,1,No info,12192
SpiceJet,May,Mumbai,Hyderabad,BOM → HYD,90,0,No check-in baggage included,1965
IndiGo,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3850
IndiGo,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,3175
Jet Airways,May,Banglore,Delhi,BLR → DEL,185,0,No info,7229
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1425,1,No info,16079
IndiGo,March,Mumbai,Hyderabad,BOM → HYD,90,0,No info,4392
Jet Airways,June,Delhi,Cochin,DEL → JAI → BOM → COK,560,2,In-flight meal not included,10368
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1210,1,In-flight meal not included,12898
IndiGo,May,Delhi,Cochin,DEL → HYD → COK,835,1,No info,6442
SpiceJet,May,Chennai,Kolkata,MAA → CCU,135,0,No info,3597
Vistara,March,Delhi,Cochin,DEL → COK,190,0,No info,6111
IndiGo,June,Delhi,Cochin,DEL → COK,195,0,No info,6015
Air India,May,Banglore,Delhi,BLR → DEL,170,0,No info,6121
Jet Airways,May,Banglore,Delhi,BLR → DEL,175,0,No info,7229
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,455,1,No info,6442
Jet Airways,April,Banglore,Delhi,BLR → DEL,175,0,In-flight meal not included,4544
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,520,1,No info,16079
Multiple carriers,March,Delhi,Cochin,DEL → HYD → COK,545,1,No info,6076
GoAir,March,Banglore,New Delhi,BLR → DEL,175,0,No info,13663
Air India,May,Delhi,Cochin,DEL → BLR → COK,705,1,No info,10671
Air Asia,June,Banglore,Delhi,BLR → DEL,170,0,No info,3383
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,910,1,No info,9021
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,615,1,No info,14533
IndiGo,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3597
IndiGo,June,Banglore,Delhi,BLR → DEL,165,0,No info,4077
Multiple carriers,June,Delhi,Cochin,DEL → HYD → COK,545,1,No info,9646
SpiceJet,April,Kolkata,Banglore,CCU → BLR,140,0,No info,3873
Jet Airways,May,Delhi,Cochin,DEL → AMD → BOM → COK,1430,2,No info,15129
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,480,1,No info,6104
Jet Airways,March,Delhi,Cochin,DEL → AMD → BOM → COK,1995,2,In-flight meal not included,16022
Air India,March,Delhi,Cochin,DEL → MAA → COK,1640,1,No info,10945
SpiceJet,May,Kolkata,Banglore,CCU → BLR,145,0,No info,3873
Jet Airways,March,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,1840
IndiGo,March,Delhi,Cochin,DEL → HYD → COK,425,1,No info,9585
Jet Airways,May,Mumbai,Hyderabad,BOM → HYD,90,0,In-flight meal not included,3210
IndiGo,May,Delhi,Cochin,DEL → BLR → COK,290,1,No info,6147
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,395,1,In-flight meal not included,7341
Air India,May,Delhi,Cochin,DEL → BOM → COK,615,1,No info,8372
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,690,1,No info,10877
IndiGo,March,Delhi,Cochin,DEL → BOM → COK,975,1,No info,13611
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1550,1,In-flight meal not included,11087
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,1470,1,In-flight meal not included,5963
IndiGo,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3597
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,910,1,In-flight meal not included,8529
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,845,1,No info,10678
IndiGo,March,Delhi,Cochin,DEL → BOM → COK,755,1,No info,8285
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,620,1,No info,18371
Jet Airways,June,Kolkata,Banglore,CCU → DEL → BLR,800,1,No info,12692
IndiGo,April,Banglore,Delhi,BLR → DEL,165,0,No info,4423
Jet Airways,June,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,7229
IndiGo,March,Banglore,New Delhi,BLR → DEL,170,0,No info,6144
IndiGo,March,Kolkata,Banglore,CCU → BLR,160,0,No info,4148
SpiceJet,March,Banglore,New Delhi,BLR → DEL,170,0,No check-in baggage included,3873
Jet Airways,March,Delhi,Cochin,DEL → JAI → BOM → COK,550,2,No info,11702
IndiGo,March,Delhi,Cochin,DEL → BOM → COK,505,1,No info,14871
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,490,1,No info,6938
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,750,1,No info,6093
IndiGo,May,Banglore,Delhi,BLR → DEL,170,0,No info,3943
Jet Airways,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,8040
Jet Airways,May,Delhi,Cochin,DEL → AMD → BOM → COK,810,2,No info,15129
SpiceJet,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3597
Vistara,May,Kolkata,Banglore,CCU → DEL → BLR,700,1,No info,8610
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,395,1,No info,13067
SpiceJet,May,Banglore,Delhi,BLR → DEL,170,0,No info,4991
SpiceJet,April,Kolkata,Banglore,CCU → MAA → BLR,315,1,No info,4649
SpiceJet,May,Chennai,Kolkata,MAA → CCU,135,0,No info,3597
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,660,1,In-flight meal not included,12898
IndiGo,March,Banglore,New Delhi,BLR → DEL,170,0,No info,8855
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1270,1,In-flight meal not included,10262
IndiGo,June,Banglore,Delhi,BLR → DEL,165,0,No info,3943
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,385,1,No info,9001
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,910,1,No info,7670
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,465,1,No info,7530
SpiceJet,April,Delhi,Cochin,DEL → MAA → COK,315,1,No info,5351
Vistara,March,Delhi,Cochin,DEL → COK,190,0,No info,6688
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1355,1,In-flight meal not included,11087
IndiGo,April,Kolkata,Banglore,CCU → HYD → BLR,315,1,No info,4775
GoAir,June,Kolkata,Banglore,CCU → BLR,155,0,No info,3514
Air India,June,Delhi,Cochin,DEL → MAA → COK,765,1,No info,7480
IndiGo,May,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2227
Air Asia,May,Delhi,Cochin,DEL → BLR → COK,870,1,No info,7452
Air Asia,May,Kolkata,Banglore,CCU → BLR,155,0,No info,4409
SpiceJet,March,Chennai,Kolkata,MAA → CCU,155,0,No check-in baggage included,3332
Air India,March,Delhi,Cochin,DEL → BOM → COK,555,1,No info,6902
Air Asia,June,Kolkata,Banglore,CCU → BBI → BLR,215,1,No info,6857
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,550,1,In-flight meal not included,12373
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,440,1,No info,11789
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,750,1,In-flight meal not included,11087
Vistara,May,Kolkata,Banglore,CCU → DEL → BLR,1625,1,No info,9345
SpiceJet,June,Mumbai,Hyderabad,BOM → HYD,90,0,No check-in baggage included,1965
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,810,1,No info,6093
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,800,1,In-flight meal not included,11841
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,775,1,In-flight meal not included,9663
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1425,1,No info,14714
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,1660,1,In-flight meal not included,8529
IndiGo,April,Delhi,Cochin,DEL → HYD → COK,275,1,No info,5073
Jet Airways,April,Banglore,Delhi,BLR → DEL,180,0,No info,7229
Air India,June,Delhi,Cochin,DEL → BOM → COK,555,1,No info,9194
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,440,1,No info,11789
SpiceJet,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2017
IndiGo,May,Banglore,Delhi,BLR → DEL,165,0,No info,3419
Jet Airways,June,Delhi,Cochin,DEL → JAI → BOM → COK,1375,2,In-flight meal not included,10368
IndiGo,April,Delhi,Cochin,DEL → BLR → COK,290,1,No info,6027
Air India,May,Delhi,Cochin,DEL → MAA → COK,765,1,No info,7480
Air India,March,Banglore,New Delhi,BLR → DEL,165,0,No info,7276
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,1015,1,No info,15764
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,550,1,No info,14714
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,510,1,No info,7888
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1225,1,In-flight meal not included,10262
Jet Airways,April,Kolkata,Banglore,CCU → BOM → BLR,590,1,No info,12681
Air India,March,Delhi,Cochin,DEL → HYD → MAA → COK,970,2,No info,9417
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,835,1,No info,17057
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,480,1,No info,12537
Vistara,June,Delhi,Cochin,DEL → COK,190,0,No info,6741
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,1595,1,In-flight meal not included,10844
IndiGo,April,Banglore,Delhi,BLR → DEL,165,0,No info,4423
Jet Airways,May,Mumbai,Hyderabad,BOM → HYD,90,0,No info,5678
Jet Airways,May,Delhi,Cochin,DEL → IDR → BOM → COK,1620,2,In-flight meal not included,12719
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,275,1,No info,5054
Air India,May,Delhi,Cochin,DEL → MAA → COK,1420,1,No info,7480
Air India,June,Banglore,Delhi,BLR → DEL,165,0,No info,6961
SpiceJet,April,Kolkata,Banglore,CCU → BLR,150,0,No check-in baggage included,3841
IndiGo,June,Banglore,Delhi,BLR → DEL,180,0,No info,3943
Jet Airways,May,Banglore,Delhi,BLR → DEL,180,0,No info,7229
SpiceJet,May,Banglore,Delhi,BLR → DEL,170,0,No check-in baggage included,4319
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,4423
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,335,1,No info,16079
Jet Airways,June,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,7754
Air India,June,Delhi,Cochin,DEL → HYD → MAA → COK,1210,2,No info,10467
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1145,1,No info,14714
Air India,May,Chennai,Kolkata,MAA → CCU,135,0,No info,4667
Jet Airways,June,Banglore,Delhi,BLR → DEL,175,0,In-flight meal not included,7229
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,535,1,No info,8266
IndiGo,May,Banglore,Delhi,BLR → DEL,170,0,No info,4823
Air Asia,May,Banglore,Delhi,BLR → DEL,170,0,No info,4483
Air India,June,Banglore,Delhi,BLR → DEL,165,0,No info,6961
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,910,1,In-flight meal not included,9663
Jet Airways,May,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,No info,16704
IndiGo,May,Mumbai,Hyderabad,BOM → HYD,90,0,No info,4049
SpiceJet,March,Chennai,Kolkata,MAA → CCU,135,0,No check-in baggage included,3807
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,940,1,No info,6442
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1480,1,In-flight meal not included,7832
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,835,1,No info,6442
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,4823
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1400,1,No info,13555
GoAir,April,Delhi,Cochin,DEL → BOM → COK,540,1,No info,5135
Air Asia,May,Banglore,Delhi,BLR → DEL,170,0,No info,3383
Jet Airways,May,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,No info,16704
Air India,May,Kolkata,Banglore,CCU → BOM → BLR,905,1,No info,8366
SpiceJet,May,Mumbai,Hyderabad,BOM → HYD,90,0,No check-in baggage included,1965
SpiceJet,June,Kolkata,Banglore,CCU → BLR,150,0,No info,3873
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,460,1,No info,10678
Air India,March,Banglore,New Delhi,BLR → BOM → DEL,865,1,No info,6824
Air India,June,Delhi,Cochin,DEL → AMD → BOM → COK,2295,2,No info,9443
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,730,1,No info,13378
IndiGo,May,Banglore,Delhi,BLR → DEL,170,0,No info,3943
IndiGo,May,Delhi,Cochin,DEL → BOM → COK,575,1,No info,7191
SpiceJet,June,Banglore,Delhi,BLR → DEL,160,0,No info,3625
Jet Airways,March,Kolkata,Banglore,CCU → BOM → BLR,390,1,In-flight meal not included,11134
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,1550,1,No info,14571
Jet Airways,April,Banglore,Delhi,BLR → DEL,180,0,In-flight meal not included,4544
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1050,1,In-flight meal not included,11087
SpiceJet,March,Kolkata,Banglore,CCU → BLR,150,0,No info,5515
IndiGo,June,Kolkata,Banglore,CCU → BLR,155,0,No info,4804
IndiGo,June,Chennai,Kolkata,MAA → CCU,140,0,No info,3597
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,795,1,No info,15353
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,590,1,In-flight meal not included,9899
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,745,1,No info,13817
Jet Airways,March,Delhi,Cochin,DEL → AMD → BOM → COK,1475,2,No info,19329
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,330,1,No info,16289
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,910,1,In-flight meal not included,9663
Air India,June,Delhi,Cochin,DEL → HYD → MAA → COK,1420,2,No info,10975
Air Asia,March,Kolkata,Banglore,CCU → BLR,155,0,No info,4384
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,600,1,No info,14714
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,875,1,No info,14388
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,455,1,No info,10877
IndiGo,May,Delhi,Cochin,DEL → BOM → COK,810,1,No info,7191
GoAir,May,Kolkata,Banglore,CCU → BOM → BLR,495,1,No info,6686
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,760,1,No info,7530
IndiGo,June,Delhi,Cochin,DEL → HYD → COK,895,1,No info,6442
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1655,1,In-flight meal not included,10262
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,875,1,No info,13817
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,570,1,No info,13626
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,910,1,No info,14388
IndiGo,April,Kolkata,Banglore,CCU → BLR,155,0,No info,4804
IndiGo,March,Delhi,Cochin,DEL → COK,185,0,No info,5406
SpiceJet,April,Delhi,Cochin,DEL → BLR → COK,295,1,No info,4611
IndiGo,June,Kolkata,Banglore,CCU → MAA → BLR,290,1,No info,5069
GoAir,June,Banglore,Delhi,BLR → DEL,175,0,No info,3898
IndiGo,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2754
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,630,1,In-flight meal not included,6943
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,750,1,No info,14781
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,360,1,No info,16079
IndiGo,March,Banglore,New Delhi,BLR → DEL,170,0,No info,8033
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,455,1,No info,6953
IndiGo,May,Banglore,Delhi,BLR → DEL,175,0,No info,4823
IndiGo,April,Kolkata,Banglore,CCU → BLR,155,0,No info,4174
Jet Airways,June,Delhi,Cochin,DEL → AMD → BOM → COK,1775,2,No info,12819
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,450,1,In-flight meal not included,9663
SpiceJet,May,Kolkata,Banglore,CCU → BLR,155,0,No check-in baggage included,3841
IndiGo,June,Delhi,Cochin,DEL → COK,195,0,No info,5000
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1395,1,No info,15554
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,1325,1,No info,13067
IndiGo,March,Kolkata,Banglore,CCU → BLR,155,0,No info,6565
SpiceJet,May,Mumbai,Hyderabad,BOM → HYD,90,0,No check-in baggage included,1965
SpiceJet,March,Chennai,Kolkata,MAA → CCU,155,0,No check-in baggage included,3332
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,1025,1,In-flight meal not included,9663
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,380,1,No info,12284
Air India,May,Delhi,Cochin,DEL → MAA → COK,965,1,No info,7480
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,550,1,No info,17024
Jet Airways,June,Kolkata,Banglore,CCU → DEL → BLR,1365,1,No info,14151
IndiGo,June,Kolkata,Banglore,CCU → BLR,155,0,No info,4804
IndiGo,May,Delhi,Cochin,DEL → BOM → COK,300,1,No info,6069
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,800,1,No info,14151
Jet Airways,March,Kolkata,Banglore,CCU → BOM → BLR,1025,1,No info,14231
IndiGo,April,Delhi,Cochin,DEL → MAA → COK,325,1,No info,5636
Air India,April,Delhi,Cochin,DEL → BLR → COK,320,1,No info,5232
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,865,1,No info,14714
IndiGo,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3850
Air India,May,Delhi,Cochin,DEL → BLR → COK,955,1,No info,7258
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1375,1,No info,17471
SpiceJet,May,Banglore,Delhi,BLR → DEL,175,0,No info,4423
IndiGo,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2227
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,930,1,No info,13377
Jet Airways,June,Banglore,Delhi,BLR → DEL,180,0,No info,8016
IndiGo,March,Banglore,New Delhi,BLR → DEL,170,0,No info,6860
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,415,1,No info,6628
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1415,1,In-flight meal not included,11627
SpiceJet,June,Kolkata,Banglore,CCU → BLR,150,0,No info,4174
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,610,1,No info,14714
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,690,1,No info,14151
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1620,1,In-flight meal not included,12898
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,395,1,In-flight meal not included,12373
IndiGo,June,Banglore,Delhi,BLR → DEL,170,0,No info,3943
Jet Airways,June,Banglore,Delhi,BLR → DEL,185,0,No info,8016
Air India,May,Delhi,Cochin,DEL → HYD → MAA → COK,1220,2,No info,10975
IndiGo,May,Chennai,Kolkata,MAA → CCU,140,0,No info,3850
IndiGo,June,Kolkata,Banglore,CCU → BLR,165,0,No info,4804
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,455,1,No info,15554
SpiceJet,March,Kolkata,Banglore,CCU → BLR,160,0,No info,4465
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,775,1,In-flight meal not included,11841
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,675,1,No info,19332
SpiceJet,June,Kolkata,Banglore,CCU → BLR,150,0,No check-in baggage included,3841
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,4591
IndiGo,May,Kolkata,Banglore,CCU → HYD → BLR,290,1,No info,5192
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1100,1,In-flight meal not included,10577
Jet Airways,May,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,No info,15129
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,780,1,No info,11789
Air India,June,Delhi,Cochin,DEL → BOM → COK,640,1,No info,8372
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,795,1,No info,8266
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,800,1,No info,14781
Vistara,April,Banglore,Delhi,BLR → DEL,155,0,No info,5613
Jet Airways,April,Banglore,Delhi,BLR → DEL,175,0,No info,7229
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,750,1,No info,6093
IndiGo,April,Kolkata,Banglore,CCU → BLR,165,0,No info,4804
Air Asia,March,Banglore,New Delhi,BLR → DEL,170,0,No info,4284
IndiGo,March,Delhi,Cochin,DEL → HYD → COK,885,1,No info,6558
SpiceJet,June,Chennai,Kolkata,MAA → CCU,135,0,No check-in baggage included,3543
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,535,1,No info,17024
Jet Airways,June,Mumbai,Hyderabad,BOM → HYD,85,0,In-flight meal not included,4050
Air India,June,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,No info,9653
IndiGo,June,Banglore,Delhi,BLR → DEL,165,0,No info,3943
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,1575,1,In-flight meal not included,10844
Jet Airways,April,Kolkata,Banglore,CCU → BOM → BLR,450,1,In-flight meal not included,8849
IndiGo,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2754
Jet Airways,May,Kolkata,Banglore,CCU → DEL → BLR,1685,1,No info,14151
Jet Airways,June,Kolkata,Banglore,CCU → BOM → BLR,740,1,In-flight meal not included,9899
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,385,1,No info,12242
Jet Airways,June,Delhi,Cochin,DEL → JAI → BOM → COK,1025,2,In-flight meal not included,10368
IndiGo,May,Mumbai,Hyderabad,BOM → HYD,90,0,No info,5755
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,610,1,In-flight meal not included,10262
Jet Airways,March,Kolkata,Banglore,CCU → BOM → BLR,1025,1,In-flight meal not included,11134
SpiceJet,June,Delhi,Cochin,DEL → MAA → COK,315,1,No info,5583
IndiGo,May,Delhi,Cochin,DEL → BOM → COK,300,1,No info,6069
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,875,1,No info,13817
Air India,March,Delhi,Cochin,DEL → AMD → BOM → COK,2295,2,No info,10283
Multiple carriers,March,Delhi,Cochin,DEL → BOM → COK,440,1,In-flight meal not included,13977
IndiGo,March,Kolkata,Banglore,CCU → BLR,160,0,No info,6038
IndiGo,May,Delhi,Cochin,DEL → COK,195,0,No info,5601
IndiGo,March,Delhi,Cochin,DEL → BOM → COK,810,1,No info,12351
Air India,April,Delhi,Cochin,DEL → COK,170,0,No info,6094
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,520,1,No info,7575
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,395,1,No info,16079
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1425,1,In-flight meal not included,10262
Air Asia,June,Delhi,Cochin,DEL → BLR → COK,340,1,No info,13470
Jet Airways,June,Banglore,Delhi,BLR → DEL,175,0,No info,8016
Jet Airways,March,Delhi,Cochin,DEL → BOM → COK,1475,1,No info,16289
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,520,1,In-flight meal not included,10262
IndiGo,June,Banglore,Delhi,BLR → DEL,175,0,No info,4823
Vistara,April,Banglore,Delhi,BLR → DEL,170,0,No info,5403
Jet Airways,May,Delhi,Cochin,DEL → BOM → COK,1530,1,In-flight meal not included,12373
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,740,1,In-flight meal not included,10844
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,520,1,No info,8625
IndiGo,March,Banglore,New Delhi,BLR → DEL,165,0,No info,4777
IndiGo,June,Delhi,Cochin,DEL → COK,195,0,No info,5000
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,1015,1,In-flight meal not included,11627
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,875,1,No info,13731
IndiGo,April,Banglore,Delhi,BLR → DEL,170,0,No info,3943
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,845,1,In-flight meal not included,6992
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,585,1,No info,13941
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,660,1,No info,14924
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,620,1,No info,18371
IndiGo,March,Chennai,Kolkata,MAA → CCU,140,0,No info,7295
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,735,1,No info,13941
IndiGo,March,Kolkata,Banglore,CCU → HYD → BLR,335,1,No info,4150
Jet Airways,April,Kolkata,Banglore,CCU → BOM → BLR,1655,1,No info,12681
IndiGo,June,Delhi,Cochin,DEL → COK,195,0,No info,5601
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,570,1,No info,13377
IndiGo,March,Mumbai,Hyderabad,BOM → HYD,85,0,No info,3342
Jet Airways,June,Banglore,Delhi,BLR → DEL,175,0,No info,8016
Jet Airways,March,Banglore,New Delhi,BLR → BOM → DEL,1035,1,No info,16736
Jet Airways,March,Kolkata,Banglore,CCU → BOM → BLR,1350,1,In-flight meal not included,10031
Air India,April,Delhi,Cochin,DEL → BLR → COK,705,1,No info,7258
Jet Airways,May,Banglore,Delhi,BLR → DEL,165,0,In-flight meal not included,4030
Jet Airways,May,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,No info,16704
Multiple carriers,June,Delhi,Cochin,DEL → BOM → COK,720,1,No info,13587
Jet Airways,May,Mumbai,Hyderabad,BOM → HYD,85,0,No info,5678
Jet Airways,April,Kolkata,Banglore,CCU → BOM → BLR,1610,1,In-flight meal not included,7064
IndiGo,June,Mumbai,Hyderabad,BOM → HYD,90,0,No info,2754
Vistara,May,Banglore,Delhi,BLR → DEL,170,0,No info,4668
Air Asia,June,Kolkata,Banglore,CCU → BLR,150,0,No info,4107
IndiGo,June,Delhi,Cochin,DEL → BOM → COK,965,1,No info,5894
Jet Airways,June,Delhi,Cochin,DEL → BOM → COK,655,1,In-flight meal not included,10262
Jet Airways,May,Kolkata,Banglore,CCU → BOM → BLR,945,1,No info,13941
Air Asia,April,Delhi,Cochin,DEL → BLR → COK,865,1,No info,6451
Air India,June,Delhi,Cochin,DEL → HYD → MAA → COK,1420,2,No info,10975
Air India,March,Delhi,Cochin,DEL → JAI → BOM → COK,1180,2,No info,14746
Air Asia,June,Delhi,Cochin,DEL → BLR → COK,625,1,No info,11410
SpiceJet,May,Kolkata,Banglore,CCU → BLR,155,0,No check-in baggage included,3841
Multiple carriers,May,Delhi,Cochin,DEL → BOM → COK,840,1,No info,15078
